District Name,City,County Name
Conemaugh Township Area School District,Davidsville,Somerset
Conemaugh Valley School District,Johnstown,Cambria
Conestoga Valley School District,Lancaster,Lancaster
Conewago Valley School District,New Oxford,Adams
Conneaut School District,Linesville,Crawford
Connellsville Area Career & Technical Center,Connellsville,Fayette
Connellsville Area School District,Connellsville,Fayette
Conrad Weiser Area School District,Robesonia,Berks
Cornell School District,Coraopolis,Allegheny
Cornwall-Lebanon School District,Lebanon,Lebanon
Corry Area School District,Corry,Erie
Coudersport Area School District,Coudersport,Potter
Council Rock School District,Newtown,Bucks
Cranberry Area School District,Seneca,Venango
Crawford Central School District,Meadville,Crawford
Crawford County Career And Technical Center,Meadville,Crawford
Cresson Secure Treatment Unit School District,Cresson,Cambria
Crestwood School District,Mountain Top,Luzerne
Crispus Attucks Youthbuild Cs,York,York
Cumberland Perry Avts School District,Mechanicsburg,Cumberland
Cumberland Valley School District,Mechanicsburg,Cumberland
Curwensville Area School District,Curwensville,Clearfield
Dallas School District,Dallas,Luzerne
Dallastown Area School District,Dallastown,York
Daniel Boone Area School District,Birdsboro,Berks
Danville Area School District,Danville,Montour
Danville Ctr Adolescent Female,Danville,Montour
Dauphin County Technical School,Harrisburg,Dauphin
Deer Lakes School District,Cheswick,Allegheny
Delaware County Technical High School,Folcroft,Delaware
Delaware Valley Chs,Philadelphia,Philadelphia
Delaware Valley School District,Milford,Pike
Derry Area School District,Derry,Westmoreland
Derry Township School District,Hershey,Dauphin
Discovery Charter School,Philadelphia,Philadelphia
Donegal School District,Mount Joy,Lancaster
Dover Area School District,Dover,York
Downingtown Area School District,Downingtown,Chester
Dr Robert Ketterer Cs Inc.,Latrobe,Westmoreland
Dubois Area School District,Dubois,Clearfield
Dunmore School District,Dunmore,Lackawanna
Duquesne City School District,Duquesne,Allegheny
East Allegheny School District,North Versailles,Allegheny
East Lycoming School District,Hughesville,Lycoming
East Penn School District,Emmaus,Lehigh
East Pennsboro Area School District,Enola,Cumberland
East Stroudsburg Area School District,East Stroudsburg,Monroe
Eastern Center For Arts & Technology,Willow Grove,Montgomery
Eastern Lancaster County School District,New Holland,Lancaster
Eastern Lebanon County School District,Myerstown,Lebanon
Eastern University Academy Charter School,Philadelphia,Philadelphia
Eastern Westmoreland Career And Technical Center,Latrobe,Westmoreland
Eastern York School District,Wrightsville,York
Easton Area School District,Easton,Northampton
Education Plus Academy Cyber Cs,Wayne,Chester
Elizabeth Forward School District,Elizabeth,Allegheny
Elizabethtown Area School District,Elizabethtown,Lancaster
Elk Lake School District,Dimcok,Susquehanna
Ellwood City Area School District,Ellwood City,Lawrence
Environmental Charter School At Frick Park,Pittsburgh,Allegheny
Ephrata Area School District,Ephrata,Lancaster
Erie City School District,Erie,Erie
Erie County Technical School,Erie,Erie
Erie Rise Leadership Academy Charter School,Erie,Erie
Esperanza Academy Charter High School,Philadelphia,Philadelphia
Esperanza Cyber Cs,Philadelphia,Philadelphia
Eugenio Maria De Hostos Cs,Philadelphia,Philadelphia
Everett Area School District,Everett,Bedford
Evergreen Community Cs,Cresco,Monroe
Exeter Township School District,Reading,Berks
Fairfield Area School District,Fairfield,Adams
Fairview School District,Fairview,Erie
Fannett-Metal School District,Willow Hill,Franklin
Farrell Area School District,Farrell,Mercer
Fayette County Career & Technical Institute School District,Uniontown,Fayette
Fell Cs,Simpson,Lackawanna
Ferndale Area School District,Johnstown,Cambria
First Philadelphia Preparatory Charter School,Philadelphia,Philadelphia
Fleetwood Area School District,Fleetwood,Berks
Folk Arts-Cultural Treasures Cs,Philadelphia,Philadelphia
Forbes Road Career And Technical Center,Monroeville,Allegheny
Forbes Road School District,Waterfall,Fulton
Forest Area School District,Tionesta,Forest
Forest City Regional School District,Forest City,Susquehanna
Forest Hills School District,Sidman,Cambria
Fort Cherry School District,Mc Donald,Washington
Fort Leboeuf School District,Waterford,Erie
Fox Chapel Area School District,Pittsburgh,Allegheny
Franklin Area School District,Franklin,Venango
Franklin County Career And Technical Center,Chambersburg,Franklin
Franklin Regional School District,Murrysville,Westmoreland
Franklin Towne Charter Elementary School,Philadelphia,Philadelphia
Franklin Towne Chs,Philadelphia,Philadelphia
Frazier School District,Perryopolis,Fayette
Freedom Area School District,Freedom,Beaver
Freeport Area School District,Sarver,Butler
Freire Cs,Philadelphia,Philadelphia
Fulton County Avts School District,Mcconnellsburg,Fulton
Galeton Area School District,Galeton,Potter
Garnet Valley School District,Glen Mills,Delaware
Gateway School District,Monroeville,Allegheny
General Mclane School District,Edinboro,Erie
Gettysburg Area School District,Gettysburg,Adams
Gettysburg Montessori Charter School,Gettysburg,Adams
Gillingham Charter School,Pottsville,Schuylkill
Girard School District,Girard,Erie
Glendale School District,Flinton,Cambria
Global Leadership Academy Cs,Philadelphia,Philadelphia
Governor Mifflin School District,Shillington,Berks
Graystone Academy Cs,Coatesville,Chester
Great Valley School District,Malvern,Chester
Greater Altoona Career And Technical Center,Altoona,Blair
Greater Johnstown Career And Technical Center,Johnstown,Cambria
Greater Johnstown School District,Johnstown,Cambria
Greater Latrobe School District,Latrobe,Westmoreland
Greater Nanticoke Area School District,Nanticoke,Luzerne
Green Woods Cs,Philadelphia,Philadelphia
Greencastle-Antrim School District,Greencastle,Franklin
Greene County Career And Technical Center,Waynesburg,Greene
Greensburg Salem School District,Greensburg,Westmoreland
Greenville Area School District,Greenville,Mercer
Greenwood School District,Millerstown,Perry
Grove City Area School District,Grove City,Mercer
Halifax Area School District,Halifax,Dauphin
Hamburg Area School District,Hamburg,Berks
Hampton Township School District,Allison Park,Allegheny
Hanover Area School District,Hanover Township,Luzerne
Hanover Public School District,Hanover,York
Harbor Creek School District,Harborcreek,Erie
Hardy Williams Academy Cs,Philadelphia,Philadelphia
Harmony Area School District,Westover,Clearfield
Harrisburg City School District,Harrisburg,Dauphin
Hatboro-Horsham School District,Horsham,Montgomery
Haverford Township School District,Havertown,Delaware
Hazleton Area Career Center,Hazle Twp,Luzerne
Hazleton Area School District,Hazle Twp,Luzerne
Helen Thackston Charter School,York,York
Hempfield School District,Landisville,Lancaster
Hempfield Area School District,Greensburg,Westmoreland
Hermitage School District,Hermitage,Mercer
Highlands School District,Natrona Heights,Allegheny
Hollidaysburg Area School District,Hollidaysburg,Blair
Homer-Center School District,Homer City,Indiana
Hope Cs,Philadelphia,Philadelphia
Hope For Hyndman Cs,Hyndman,Bedford
Hopewell Area School District,Aliquippa,Beaver
Howard Gardner Multiple Intelligence Cs,Scranton,Lackawanna
Huntingdon Area School District,Huntingdon,Huntingdon
Huntingdon County Career And Technical Center,Mill Creek,Huntingdon
I-Lead Charter School,Reading,Berks
Imani Education Circle Cs,Philadelphia,Philadelphia
Imhotep Institute Chs,Philadelphia,Philadelphia
Independence Charter School,Philadelphia,Philadelphia
Indiana Area School District,Indiana,Indiana
Indiana County Technology Center,Indiana,Indiana
Infinity Cs,Penbrook,Dauphin
Interboro School District,Prospect Park,Delaware
Iroquois School District,Erie,Erie
Jamestown Area School District,Jamestown,Mercer
Jeannette City School District,Jeannette,Westmoreland
Jefferson County-Dubois Avts School District,Reynoldsville,Jefferson
Jefferson-Morgan School District,Jefferson,Greene
Jenkintown School District,Jenkintown,Montgomery
Jersey Shore Area School District,Jersey Shore,Lycoming
Jim Thorpe Area School District,Jim Thorpe,Carbon
John B Stetson Charter School,Philadelphia,Philadelphia
Johnsonburg Area School District,Johnsonburg,Elk
Juniata County School District,Mifflintown,Juniata
Juniata Valley School District,Alexandria,Huntingdon
Kane Area School District,Kane,Mckean
Karns City Area School District,Karns City,Butler
Kennett Consolidated School District,Kennett Square,Chester
Keystone School District,Knox,Clarion
Keystone Central Career And Technical Center,Mill Hall,Clinton
Keystone Central School District,Mill Hall,Clinton
Keystone Education Center Cs,Greenville,Mercer
Keystone Oaks School District,Pittsburgh,Allegheny
Khepera Cs,Philadelphia,Philadelphia
KIPP Philadelphia Charter School,Philadelphia,Philadelphia
