District Name,City,County Name
Spring Grove Area School District,Spring Grove,York
Spring-Ford Area School District,Royersford,Montgomery
Springfield School District,Springfield,Delaware
Springfield Township School District,Oreland,Montgomery
State College Area School District,State College,Centre
Steel Center Avts,Jefferson Hills,Allegheny
Steel Valley School District,Munhall,Allegheny
Steelton-Highspire School District,Steelton,Dauphin
Sto-Rox School District,Mckees Rocks,Allegheny
Stone Valley Community Cs,Huntingdon,Huntingdon
Stroudsburg Area School District,Stroudsburg,Monroe
Sugar Valley Rural Cs,Loganton,Clinton
Sullivan County School District,Laporte,Sullivan
Sun Area Technical Institute School District,New Berlin,Union
Susq-Cyber Cs,Bloomsburg,Columbia
Susquehanna Community School District,Susquehanna,Susquehanna
Susquehanna County Career And Technical Center,Dimock,Susquehanna
Susquehanna Township School District,Harrisburg,Dauphin
Susquenita School District,Duncannon,Perry
Sylvan Heights Science Cs,Harrisburg,Dauphin
Tacony Academy Charter School,Philadelphia,Philadelphia
Tamaqua Area School District,Tamaqua,Schuylkill
The Philadelphia Cs For Arts And Sciences At Hr Edmunds,Philadelphia,Philadelphia
Tidioute Community Cs,Tidioute,Warren
Titusville Area School District,Titusville,Crawford
Towanda Area School District,Towanda,Bradford
Tredyffrin-Easttown School District,Wayne,Chester
Tri-Valley School District,Valley View,Schuylkill
Trinity Area School District,Washington,Washington
Troy Area School District,Troy,Bradford
Truebright Science Academy Cs,Philadelphia,Philadelphia
Tulpehocken Area School District,Bethel,Berks
Tunkhannock Area School District,Tunkhannock,Wyoming
Turkeyfoot Valley Area School District,Confluence,Somerset
Tuscarora School District,Mercersburg,Franklin
Tussey Mountain School District,Saxton,Bedford
Twin Valley School District,Elverson,Berks
Tyrone Area School District,Tyrone,Blair
Union Area School District,New Castle,Lawrence
Union City Area School District,Union City,Erie
Union School District,Rimersburg,Clarion
Uniontown Area School District,Uniontown,Fayette
Unionville-Chadds Ford School District,Kennett Square,Chester
United School District,Armagh,Indiana
Universal Alcorn Cs,Philadelphia,Philadelphia
Universal Audenried Charter School,Philadelphia,Philadelphia
Universal Bluford Charter School,Philadelphia,Philadelphia
Universal Creighton Charter School,Philadelphia,Philadelphia
Universal Daroff Charter School,Philadelphia,Philadelphia
Universal Institute Cs,Philadelphia,Philadelphia
Universal Vare Charter School,Philadelphia,Philadelphia
Upper Adams School District,Biglerville,Adams
Upper Bucks County Technical School District,Perkasie,Bucks
Upper Darby School District,Drexel Hill,Delaware
Upper Dauphin Area School District,Lykens,Dauphin
Upper Dublin School District,Maple Glen,Montgomery
Upper Merion Area School District,King Of Prussia,Montgomery
Upper Moreland Township School District,Willow Grove,Montgomery
Upper Perkiomen School District,Pennsburg,Montgomery
Upper Saint Clair School District,Pittsburgh,Allegheny
Urban League Of Greater Pittsburgh Cs,Pittsburgh,Allegheny
Urban Pathways 6-12 Cs,Pittsburgh,Allegheny
Urban Pathways K-5 College Charter School,Pittsburgh,Allegheny
Valley Grove School District,Franklin,Venango
Valley View School District,Archbald,Lackawanna
Venango Technology Center,Oil City,Venango
Vida Charter School,Gettysburg,Adams
Wakisha Cs,Philadelphia,Philadelphia
Wallenpaupack Area School District,Hawley,Pike
Wallingford-Swarthmore School District,Wallingford,Delaware
Walter D Palmer Leadership Learning Partners Cs,Philadelphia,Philadelphia
Warren County Avts School District,Warren,Warren
Warren County School District,Warren,Warren
Warrior Run School District,Turbotville,Northumberland
Warwick School District,Lititz,Lancaster
Washington School District,Washington,Washington
Wattsburg Area School District,Erie,Erie
Wayne Highlands School District,Honeschool Districtale,Wayne
Waynesboro Area School District,Waynesboro,Franklin
Weatherly Area School District,Weatherly,Carbon
Wellsboro Area School District,Wellsboro,Tioga
West Allegheny School District,Oakdale,Allegheny
West Branch Area School District,Morrischool Districtale,Clearfield
West Chester Area School District,West Chester,Chester
West Greene School District,Waynesburg,Greene
West Jefferson Hills School District,Jefferson Hills,Allegheny
West Middlesex Area School District,West Middlesex,Mercer
West Mifflin Area School District,West Mifflin,Allegheny
West Oak Lane Cs,Philadelphia,Philadelphia
West Perry School District,Elliottsburg,Perry
West Phila. Achievement Ces,Philadelphia,Philadelphia
West Shore School District,Lewisberry,York
West Side Career And Technical Center,Kingston,Luzerne
West York Area School District,York,York
Western Area Career And Technical Center,Canonsburg,Washington
Western Beaver County School District,Midland,Beaver
Western Montgomery Career And Technical Center,Limerick,Montgomery
Western Wayne School District,Lake Ariel,Wayne
Westmont Hilltop School District,Johnstown,Cambria
Whitehall-Coplay School District,Whitehall,Lehigh
Widener Partnership Cs,Chester,Delaware
Wilkes-Barre Area Career And Technical Center,Wilkes-Barre,Luzerne
Wilkes-Barre Area School District,Wilkes Barre,Luzerne
Wilkinsburg Borough School District,Wilkinsburg,Allegheny
William Penn School District,Lansdowne,Delaware
Williams Valley School District,Tower City,Schuylkill
Williamsburg Community School District,Williamsburg,Blair
Williamsport Area School District,Williamsport,Lycoming
Wilmington Area School District,New Wilmington,Lawrence
Wilson School District,West Lawn,Berks
Wilson Area School District,Easton,Northampton
Windber Area School District,Windber,Somerset
Wissahickon Cs,Philadelphia,Philadelphia
Wissahickon School District,Ambler,Montgomery
Wonderland Cs,State College,Centre
Woodland Hills School District,Pittsburgh,Allegheny
World Communications Cs,Philadelphia,Philadelphia
Wyalusing Area School District,Wyalusing,Bradford
Wyoming Area School District,Exeter,Luzerne
Wyoming Valley West School District,Kingston,Luzerne
Wyomissing Area School District,Wyomissing,Berks
York Academy Regional Charter School,York,York
York City School District,York,York
York County School Of Technology,York,York
York Suburban School District,York,York
Yough School District,Herminie,Westmoreland
Young Scholars Cs,Philadelphia,Philadelphia
Young Scholars Frederick Douglas Charter School,Philadelphia,Philadelphia
Young Scholars Kenderton Cs,Philadelphia,Philadelphia
Young Scholars Of Central Pa Cs,State College,Centre
Young Scholars Of Western Pennsylvania Cs,Pittsburgh,Allegheny
Youth Build Phila Cs,Philadelphia,Philadelphia
Youth Forestry Camp #3,James Creek,Huntingdon
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
